Source,Filename,Youtube,Delay,Speed,Remove Black Bar,Notes
DLC1,Avenged Sevenfold - Seize the Day,https://www.youtube.com/watch?v=jUkoL9RE72o,-2794,100,TRUE,"Small bit of story added in, desyncs"
DLC1,Average White Band - Pick Up the Pieces,Not Found,,,FALSE,
DLC1,Bad Religion - 21st Century (Digital Boy),https://www.youtube.com/watch?v=v-D-fn-Z04w,6874,101.1,FALSE,
DLC1,Bad Religion - New Dark Ages,https://www.youtube.com/watch?v=RGqA1lNXYhg,-4421,100,FALSE,
DLC1,Bad Religion - No Control,Not Found,,,FALSE,
DLC1,Bad Religion - Sorrow,https://www.youtube.com/watch?v=r7Hb4bxF12E,-4872,100,FALSE,
DLC1,Bang Camaro - Rock Rebellion,Not Found,,,FALSE,
DLC1,Barenaked Ladies - Hanukkah Blessings,Not Found,,,FALSE,
DLC1,Behemoth - Conquer All,https://www.youtube.com/watch?v=38j-i8jH7xk,-5840,100,TRUE,
DLC1,Belly - Feed the Tree,https://www.youtube.com/watch?v=RQJjUbMrt8w,-5297,100.1,FALSE,
DLC1,Ben Harper and Relentless7 - Shimmer & Shine,https://www.youtube.com/watch?v=9VBwZU_3au8,2560,99.9,FALSE,
DLC1,Between the Buried and Me - Prequel to the Sequel,Not Found,,,FALSE,
DLC1,Big Dipper - All Going Out Together,Not Found,,,FALSE,
DLC1,Big Dipper - She's Fetching,Not Found,,,FALSE,
DLC1,Big Dipper - Younger Bums,Not Found,,,FALSE,
DLC1,Billy Currington - That's How Country Boys Roll,https://www.youtube.com/watch?v=xfHVXx11P8s,1126,100,FALSE,
DLC1,Billy Idol - Mony Mony,Not Found,,,FALSE,
DLC1,Billy Idol - Rebel Yell,https://www.youtube.com/watch?v=VdphvuyaV_I,-2836,100.1,FALSE,
DLC1,Billy Squier - Christmas Is the Time to Say I Love You,https://www.youtube.com/watch?v=JnOBggLe0tY,8542,101.05,FALSE,
DLC1,Black Rebel Motorcycle Club - Weapon of Choice,https://www.youtube.com/watch?v=94c7fdAxTas,100,100,FALSE,
DLC1,Black Sabbath - N.I.B,Not Found,,,FALSE,
DLC1,Black Sabbath - Sweet Leaf,Not Found,,,FALSE,
DLC1,Black Sabbath - War Pigs,Not Found,,,FALSE,
DLC1,Black Tide - Shockwave,https://www.youtube.com/watch?v=QPq4rHdNjSA,417,100,FALSE,
DLC1,Black Tide - Show Me the Way,https://www.youtube.com/watch?v=ow46trAb1P4,-4172,100,FALSE,
DLC1,Black Tide - Warriors of Time,https://www.youtube.com/watch?v=C9mo7rFWLbY,-19453,100,FALSE,Short Edit but no sync needed really
DLC1,Blind Melon - No Rain,https://www.youtube.com/watch?v=3qVPNONdF58,27152,100,FALSE,
DLC1,Blink-182 - Adam's Song,https://www.youtube.com/watch?v=2MRdtXWcgIw,-2961,99.92,FALSE,
